name;lat;lon;pop;textsize
New Haven;41.0706;-85.01441;14794;2
Noblesville;40.04559;-86.0086;51969;10
Peru;40.75365;-86.06888;11417;2
Plymouth;41.34366;-86.30973;10033;2
Portage;41.57587;-87.17615;36828;7
Saint John;41.45004;-87.47004;14850;2
Schererville;41.47892;-87.45476;29243;5
South Bend;41.68338;-86.25001;101168;20
Valparaiso;41.47309;-87.06114;31730;6
Wabash;40.79782;-85.82054;10666;2
Warsaw;41.2381;-85.85305;13559;2
West Lafayette;40.42587;-86.90807;29596;5
Westfield;40.04282;-86.12749;30068;6
Abington;42.10482;-70.94532;15985;3
Acton;42.48509;-71.43284;20897;4
Acushnet;41.68066;-70.90782;10850;2
Agawam;42.06954;-72.61481;28761;5
Amesbury;42.85842;-70.93005;18313;3
Amherst Center;42.37537;-72.51925;19065;3
Arlington;42.41537;-71.15644;42844;8
Ashland;42.26121;-71.4634;15802;3
Attleboro;41.94454;-71.28561;43593;8
Auburn;42.19454;-71.83563;16724;3
Barnstable;41.70011;-70.29947;47821;9
Bedford;42.49065;-71.27617;12502;2
Belmont;42.39593;-71.17867;24729;4
Beverly;42.55843;-70.88005;39502;7
Beverly Cove;42.55343;-70.85366;40365;8
Billerica;42.55843;-71.26895;39904;7
Boston;42.35843;-71.05977;617594;123
Braintree;42.22232;-70.99949;33509;6
Brockton;42.08343;-71.01838;93810;18
Brookline;42.33176;-71.12116;58732;11
Burlington;42.50482;-71.19561;24498;4
Cambridge;42.3751;-71.10561;105162;21
Canton;42.15843;-71.14477;21679;4
Carver;41.88344;-70.76254;11718;2
Charlton;42.13565;-71.97007;12764;2
Chelmsford;42.59981;-71.36728;33925;6
Chelsea;42.39176;-71.03283;35177;7
Chicopee;42.17256;-72.59491;55298;11
Concord;42.46037;-71.34895;16810;3
Danvers;42.57509;-70.93005;26493;5
Dedham;42.24177;-71.16616;24729;4
Dracut;42.67037;-71.30201;28831;5
Dudley;42.0451;-71.93007;11165;2
East Bridgewater;42.03343;-70.95921;14021;2
East Longmeadow;42.06454;-72.51259;15102;3
Easthampton;42.26676;-72.66898;16611;3
Easton;42.02454;-71.12866;23459;4
Everett;42.40843;-71.05366;41667;8
Fairhaven;41.6376;-70.90365;16453;3
Fall River;41.70149;-71.15505;88857;17
Fitchburg;42.58342;-71.8023;40318;8
